"CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
619,"France","Female",42,2,0,1,"Si","Si",101348.88,"Si"
608,"Spain","Female",41,1,83807.86,1,"No","Si",112542.58,"No"
502,"France","Female",42,8,159660.8,3,"Si","No",113931.57,"Si"
699,"France","Female",39,1,0,2,"No","No",93826.63,"No"
850,"Spain","Female",43,2,125510.82,1,"Si","Si",79084.1,"No"
645,"Spain","Male",44,8,113755.78,2,"Si","No",149756.71,"Si"
822,"France","Male",50,7,0,2,"Si","Si",10062.8,"No"
376,"Germany","Female",29,4,115046.74,4,"Si","No",119346.88,"Si"
501,"France","Male",44,4,142051.07,2,"No","Si",74940.5,"No"
684,"France","Male",27,2,134603.88,1,"Si","Si",71725.73,"No"
528,"France","Male",31,6,102016.72,2,"No","No",80181.12,"No"
497,"Spain","Male",24,3,0,2,"Si","No",76390.01,"No"
476,"France","Female",34,10,0,2,"Si","No",26260.98,"No"
549,"France","Female",25,5,0,2,"No","No",190857.79,"No"
635,"Spain","Female",35,7,0,2,"Si","Si",65951.65,"No"
616,"Germany","Male",45,3,143129.41,2,"No","Si",64327.26,"No"
653,"Germany","Male",58,1,132602.88,1,"Si","No",5097.67,"Si"
549,"Spain","Female",24,9,0,2,"Si","Si",14406.41,"No"
587,"Spain","Male",45,6,0,1,"No","No",158684.81,"No"
726,"France","Female",24,6,0,2,"Si","Si",54724.03,"No"
732,"France","Male",41,8,0,2,"Si","Si",170886.17,"No"
636,"Spain","Female",32,8,0,2,"Si","No",138555.46,"No"
510,"Spain","Female",38,4,0,1,"Si","No",118913.53,"Si"
669,"France","Male",46,3,0,2,"No","Si",8487.75,"No"
846,"France","Female",38,5,0,1,"Si","Si",187616.16,"No"
577,"France","Male",25,3,0,2,"No","Si",124508.29,"No"
756,"Germany","Male",36,2,136815.64,1,"Si","Si",170041.95,"No"
571,"France","Male",44,9,0,2,"No","No",38433.35,"No"
574,"Germany","Female",43,3,141349.43,1,"Si","Si",100187.43,"No"
411,"France","Male",29,0,59697.17,2,"Si","Si",53483.21,"No"
591,"Spain","Female",39,3,0,3,"Si","No",140469.38,"Si"
533,"France","Male",36,7,85311.7,1,"No","Si",156731.91,"No"
553,"Germany","Male",41,9,110112.54,2,"No","No",81898.81,"No"
520,"Spain","Female",42,6,0,2,"Si","Si",34410.55,"No"
722,"Spain","Female",29,9,0,2,"Si","Si",142033.07,"No"
475,"France","Female",45,0,134264.04,1,"Si","No",27822.99,"Si"
490,"Spain","Male",31,3,145260.23,1,"No","Si",114066.77,"No"
804,"Spain","Male",33,7,76548.6,1,"No","Si",98453.45,"No"
850,"France","Male",36,7,0,1,"Si","Si",40812.9,"No"
582,"Germany","Male",41,6,70349.48,2,"No","Si",178074.04,"No"
472,"Spain","Male",40,4,0,1,"Si","No",70154.22,"No"
465,"France","Female",51,8,122522.32,1,"No","No",181297.65,"Si"
556,"France","Female",61,2,117419.35,1,"Si","Si",94153.83,"No"
