"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2017.E","2019.E","2021.E","2020.E","2018.E","2016.E","2016.B","2017.B"
"000","AG","USM",1782879.565,1803725.791,2162375.682,2325920.162142,1805801.241,1584357.117,1729919.887,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","AGFO","USM",1531509.421,1570025.258,1848012.106,1993000,1533690.597,1356078.942,1472607.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MA","USM",12744423.117,12140264.441,14866068.965,15287978,13004267.229,11031394.509,12006067.958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MACH","USM",2203152.156,2208882.28,2785153.859,3009784,2246259.104,1819844.509,1994770.266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MACHPH","USM",669746.554,734493.494,880573.617,NA,635741.229,537964.147,566734.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MACL","USM",495396.11,450092.342,548830.37,576003,494308.309,445177.172,465620.052,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAIS","USM",419146.916,363885.076,585703.907,627765,470170.174,343654.906,415811.939,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMT","USM",6496380.918,6163583.682,7343502.887,NA,6638568.335,5613686.857,6169315.178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTAU","USM",1506348.825,1273527.777,1471053.887,1517733,1544219.43,1366669.537,1466102.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOF","USM",2025567.101,2123616.059,2541711.244,2512074,2074186.846,1681596.898,1911412.466,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOTEP","USM",669998.797,694361.822,821448.693,NA,697841.757,470075.812,624031.448,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOTIC","USM",714665.855,790755.081,987280.058,NA,718683.886,526424.916,643097.266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOTTL","USM",640902.449,638499.156,732982.493,NA,657661.203,685096.17,644283.752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTTE","USM",2165637.089329,1823493.77119,2121473.744698,NA,2222283.869267,2020172.929019,2132859.280447,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MATE","USM",305637.837,328548.55,354268.935,339372,312330.622,281195.201,295331.902,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MI","USM",3097493.343,2334297.115,3654527.019,5157564,3269207.001,2033876.998,2612021.651,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MIFU","USM",2366575.278,1576992.385,2547614.309,NA,2529448.61,1492451.962,1948475.417,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","TO","USM",19017107.818769,17653275.131381,22365765.698965,NA,19550036.850202,16036334.899298,17741324.685115,24925766.073563,NA,NA,NA,NA,NA,NA,NA,NA
"004","AG","USM",NA,NA,NA,NA,725.207783,437.070449,NA,NA,636.947822,729.900074,733.630007,693.744439,NA,NA,NA,NA
"004","AGFO","USM",NA,NA,NA,NA,579.086394,339.495669,NA,NA,494.990883,548.151791,545.929603,529.882827,NA,NA,NA,NA
"004","MA","USM",44.21678,NA,NA,NA,34.190478,39.137698,34.275297,NA,NA,NA,143.464687,24.693254,NA,NA,NA,NA
"004","MACH","USM",0.57331,NA,NA,NA,0.471635,NA,1.085608,NA,NA,NA,1.542084,1.471374,NA,NA,NA,NA
"004","MACHPH","USM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48469,0.127159,NA,NA,NA,NA
"004","MACL","USM",0.032888,NA,NA,NA,0.072524,NA,0.00994,NA,NA,NA,1.272002,0.489088,NA,NA,NA,NA
"004","MAIS","USM",0.004736,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266619,0.118857,NA,NA,NA,NA
"004","MAMT","USM",1.45721,NA,NA,NA,3.674789,NA,0.134099,NA,NA,NA,77.068142,5.491334,NA,NA,NA,NA
"004","MAMTAU","USM",0.641786,NA,NA,NA,1.697736,NA,NA,NA,NA,NA,0.978154,0.445656,NA,NA,NA,NA
"004","MAMTOF","USM",0.085186,NA,NA,NA,0.02564,NA,NA,NA,NA,NA,59.292443,1.540859,NA,NA,NA,NA
"004","MAMTOTEP","USM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.057312,0.16428,NA,NA,NA,NA
"004","MAMTOTIC","USM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.934526,0.113532,NA,NA,NA,NA
"004","MAMTOTTL","USM",0.085186,NA,NA,NA,0.02564,NA,NA,NA,NA,NA,2.300605,1.263048,NA,NA,NA,NA
"004","MAMTTE","USM",0.876255,NA,NA,NA,2.285672,NA,NA,NA,NA,NA,4.935327,1.56484,NA,NA,NA,NA
"004","MATE","USM",30.019522,NA,NA,NA,23.233031,38.984153,24.622403,NA,NA,NA,14.522275,9.613991,NA,NA,NA,NA
"004","MI","USM",88.586185,NA,NA,NA,100.439107,6.707272,50.518915,NA,NA,NA,158.678107,51.163903,NA,NA,NA,NA
"004","MIFU","USM",69.573174,NA,NA,NA,89.390208,NA,43.546609,NA,NA,NA,99.878793,27.476137,NA,NA,NA,NA
"004","TO","USM",863.833,776.737,NA,992,875.2,596.455,723,NA,NA,NA,1035,NA,NA,NA,NA,NA
"008","AG","USM",337.625914,373.693845,447.649371,NA,316.542246,217.775785,273.600692,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","AGFO","USM",276.6607,306.365626,367.813472,NA,258.49544,169.037112,222.379974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MA","USM",1902.169003,1750.237973,2354.733978,NA,1998.715054,1338.698817,1626.254658,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MACH","USM",48.790329,48.32343,75.386159,NA,41.836752,24.68003,28.499459,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MACHPH","USM",3.920491,3.741656,4.397766,NA,3.45597,5.097218,2.546479,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MACL","USM",537.052327,489.983292,563.866957,NA,564.850601,427.571541,492.852455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAIS","USM",230.860019,197.562703,461.013814,NA,296.264423,117.805835,188.349517,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMT","USM",190.182716,206.295119,277.474209,NA,165.742317,90.595962,127.689936,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTAU","USM",19.924616,30.378308,27.683569,NA,14.094364,14.914,18.546126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOF","USM",13.772727,16.205067,18.881516,NA,14.006649,7.129081,11.133096,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOTEP","USM",2.073621,3.16734,4.051087,NA,2.470743,3.619508,3.572895,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOTIC","USM",4.744134,1.885822,2.253295,NA,2.390586,0.194449,0.209533,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOTTL","USM",6.954973,11.151904,12.577134,NA,9.14532,3.329132,7.350669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTTE","USM",25.786076,37.333922,36.275488,NA,20.50828,16.564241,21.127343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MATE","USM",30.239725,42.155134,38.710149,NA,26.068604,15.394693,20.553613,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MI","USM",473.258588,376.905328,750.957098,NA,551.338914,397.949728,390.027032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MIFU","USM",300.929645,206.650694,485.516731,NA,382.853438,220.814814,195.518717,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","TO","USM",2715.761942,2506.300234,3559.042934,NA,2869.870569,1959.041781,2292.473547,4309.058681,NA,NA,NA,NA,NA,NA,NA,NA
"012","AG","USM",NA,NA,NA,NA,NA,341.286284,370.117249,NA,NA,308.999828,467.870972,414.821173,278.328361,NA,NA,NA
"012","AGFO","USM",NA,NA,NA,NA,NA,330.768786,352.325849,NA,NA,289.556444,428.300881,398.401007,257.879166,NA,NA,NA
"012","MA","USM",NA,NA,NA,NA,NA,989.513005,940.060833,NA,NA,1797.633707,3660.420864,1828.412485,1857.648489,NA,NA,NA
"012","MACH","USM",NA,NA,NA,NA,NA,886.710641,776.8115,NA,NA,1424.984585,2368.570854,1495.370929,1540.602582,NA,NA,NA
"012","MACHPH","USM",NA,NA,NA,NA,NA,6.288486,5.198454,NA,NA,3.640377,2.769817,1.741857,5.957492,NA,NA,NA
"012","MACL","USM",NA,NA,NA,NA,NA,0.169306,0.025402,NA,NA,0.356181,3.228333,4.095346,0.308139,NA,NA,NA
"012","MAIS","USM",NA,NA,NA,NA,NA,0.226708,9.607763,NA,NA,122.809219,872.619969,60.359589,54.976264,NA,NA,NA
"012","MAMT","USM",NA,NA,NA,NA,NA,53.889917,80.982066,NA,NA,106.804607,111.738397,111.601674,158.666073,NA,NA,NA
"012","MAMTAU","USM",NA,NA,NA,NA,NA,0.291738,0.127646,NA,NA,5.848581,17.88568,6.963804,7.049777,NA,NA,NA
"012","MAMTOF","USM",NA,NA,NA,NA,NA,6.260199,13.329374,NA,NA,13.996332,5.644322,6.219666,10.586829,NA,NA,NA
"012","MAMTOTEP","USM",NA,NA,NA,NA,NA,0.037507,0.99797,NA,NA,0.399957,0.733426,0.485634,0.606144,NA,NA,NA
"012","MAMTOTIC","USM",NA,NA,NA,NA,NA,1.59792,4.189683,NA,NA,0.770055,0.297221,0.463229,0.315435,NA,NA,NA
"012","MAMTOTTL","USM",NA,NA,NA,NA,NA,4.624772,8.141721,NA,NA,12.82632,4.613676,5.270803,9.66525,NA,NA,NA
"012","MAMTTE","USM",NA,NA,NA,NA,NA,2.38148,21.081749,NA,NA,21.084486,22.472479,40.157016,21.464234,NA,NA,NA
"012","MATE","USM",NA,NA,NA,NA,NA,0.610806,1.182276,NA,NA,7.428188,10.185361,21.101243,3.194409,NA,NA,NA
"012","MI","USM",NA,NA,NA,NA,NA,28661.302181,33880.809328,NA,NA,33656.411199,32539.115641,21542.127733,39602.579175,NA,NA,NA
"012","MIFU","USM",NA,NA,NA,NA,NA,28585.789555,33822.732721,NA,NA,33526.443689,32389.34998,21447.479148,39480.774345,NA,NA,NA
"012","TO","USM",35312.258216,21925.274171,38558.266037,60924.102593,41797,30026,35191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","TO","USM",353.215,NA,NA,366,377.313,388,396.791032,NA,NA,NA,317,399,NA,NA,NA,NA
"020","TO","USM",NA,NA,NA,NA,129.448151,96.912958,117.965611,NA,NA,NA,NA,NA,NA,NA,NA,NA
