"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2020.E","2021.E","2019.E","2017.E","2018.E","2016.E","2016.B","2017.B"
"000","AG","USM",1827753.702,1846498.032,2195839.041,2363134.884736,1850984.855,1603506.5,1759122.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","AGFO","USM",1559529.067,1603191.363,1875642.556,2023000,1556777.619,1357744.531,1487078.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MA","USM",13773803.880125,13014924.85341,15787681.196985,16313312,13984088.8551,11875116.656198,12993745.996633,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MACH","USM",2309070.857,2299990.046,2880389.219,3112700,2348869.567,1904144.698,2099948.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MACHPH","USM",708108.188,764525.412,896236.643,NA,673475.234,565188.598,608633.973,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MACL","USM",538262.73352,489815.211626,576811.708392,605370,537982.334255,473135.30231,500722.150022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAIS","USM",433349.708,370537.094,569934.104,640320,481227.688,350662.918,426168.822,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMT","USM",7157513.941606,6705850.617847,7972190.140202,NA,7286642.211745,6106789.291354,6759351.976085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTAU","USM",1538657.08,1283958.474,1478865.398,1525792,1559832.649,1366081.922,1472442.517,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOF","USM",2261984.253,2362580.597,2826562.553,2793603.842894,2324419.515,1895378.717,2153459.534,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOTEP","USM",683299.499,712090.961,828552.175,NA,704027.189,489048.613,631133.959,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOTIC","USM",884853.613,964548.277,1208858.878,NA,896576.366,670855.107,788042.911,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTOTTL","USM",693831.141,685941.359,789151.5,NA,723815.96,735474.997,734282.664,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MAMTTE","USM",2258744.615357,1853458.598595,2133932.623914,NA,2295532.249537,2087639.330983,2148044.011425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MATE","USM",335601.470788,361403.405,389695.8285,379278,343699.929925,303464.866003,321921.579219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MI","USM",3184280.085,2436222.048,3856739.504,5413311,3415114.684,2129435.378,2759011.679,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","MIFU","USM",2361464.334,1604142.903,2614777.752,NA,2574511.962,1532679.498,2008187.493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000","TO","USM",19341026.201233,17878571.619407,22602819.58566,NA,19816322.336437,16205390.207504,17975934.260488,25670095.270403,NA,NA,NA,NA,NA,NA,NA,NA
"004","AG","USM",2457.760391,NA,NA,NA,2655.588953,1539.44335,3012.967693,NA,2530.288705,2288.662152,NA,NA,NA,NA,NA,NA
"004","AGFO","USM",2306.152834,NA,NA,NA,2520.689112,1539.443351,2867.166171,NA,2472.69283,2250.086065,NA,NA,NA,NA,NA,NA
"004","MA","USM",NA,NA,NA,NA,3410.486517,1607.2397,NA,NA,3468.143756,2621.277025,2228.579911,2937.263944,NA,NA,NA,NA
"004","MACH","USM",392.15632,NA,NA,NA,281.266837,97.513695,223.866721,NA,679.614921,589.606751,NA,NA,NA,NA,NA,NA
"004","MACHPH","USM",24.845401,NA,NA,NA,0.002109,NA,NA,NA,227.911803,250.973008,NA,NA,NA,NA,NA,NA
"004","MACL","USM",30.104739,NA,NA,NA,32.205102,10.620497,29.967791,NA,189.242304,141.175559,NA,NA,NA,NA,NA,NA
"004","MAIS","USM",135.093122,NA,NA,NA,217.514309,25.312153,179.314199,NA,299.119504,211.70447,NA,NA,NA,NA,NA,NA
"004","MAMT","USM",924.136535,NA,NA,NA,868.974184,360.319925,897.53813,NA,1020.679045,742.478767,NA,NA,NA,NA,NA,NA
