"","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindSpeed9am","Humidity9am","Pressure9am","Temp9am"
"50120",12.1,31.3,0,NA,NA,"E",35,0,60,1016.3,20.8
"50121",13.4,31.6,0,NA,NA,"NNW",30,6,63,1016.9,21.5
"50122",16.6,33.9,0,NA,NA,"W",26,6,63,1016.7,24.1
"50123",17,29,0,NA,NA,"ENE",35,2,68,1012.4,22.7
"50124",14.4,28.4,0,NA,NA,"ENE",41,7,68,1016.3,15.9
"50125",12.7,24.6,0,NA,NA,"ESE",41,13,62,1014.3,16
"50126",9.9,28.9,0,NA,NA,"NW",31,7,64,1013.2,16.1
"50127",16.1,26.7,1.4,NA,NA,"WNW",30,13,84,1006.4,21.2
"50128",16.4,22.3,0.2,NA,NA,"WNW",39,17,40,1006.4,18.6
"50129",8.3,23.4,0,NA,NA,"NW",44,2,65,1009.3,14
"50130",12.7,17.9,0,NA,NA,"W",69,30,48,1003.3,14.5
"50131",3.8,22.7,0.6,NA,NA,"S",31,17,47,1014.7,12
"50132",5.7,27.1,0,NA,NA,"NW",35,6,60,1014.9,14.9
"50133",12.8,24.4,0.4,NA,NA,"SE",39,0,84,1015.9,14.7
"50134",13.8,20,0.6,NA,NA,"ENE",31,15,67,1019,16.5
"50135",13.2,25.6,0.2,NA,NA,"NE",37,9,69,1022.4,17.4
"50136",11.5,28.8,0,NA,NA,"NE",33,6,70,1022.5,18.2
"50137",11.9,32,0,NA,NA,"WSW",35,0,72,1017,18.7
"50138",13.6,31.6,0,NA,NA,"SE",39,4,56,1016.6,22.2
"50139",13.5,33.1,0,NA,NA,"S",43,9,61,1016.1,19.9
"50140",13.8,26.8,42.2,NA,NA,"ESE",37,9,87,1015.5,17.9
"50141",16,22.9,2,NA,NA,"E",35,19,65,1021.6,17.6
"50142",14.2,22.3,0,NA,NA,"SE",33,17,63,1022.4,18.8
"50143",9.8,26.7,0,NA,NA,"E",28,6,71,1018,16.8
"50144",12.6,25.4,0,NA,NA,"ENE",28,2,72,1014.1,19.4
"50145",14.5,27,0.2,NA,NA,"E",31,9,68,1014.1,20.9
"50146",16.4,24.9,4.4,NA,NA,"SSW",50,7,70,1017.6,19.3
"50147",15.7,29.1,0,NA,NA,"NE",26,7,72,1015.3,18.2
"50148",14.8,29.7,0,NA,NA,"NNE",37,9,67,1010.5,20.7
"50149",18.2,NA,32.8,NA,NA,NA,NA,22,100,997.1,20.8
"50150",12.5,19.2,NA,NA,NA,"SSW",31,11,62,1014.6,15.6
"50151",12.4,16.8,0,NA,NA,"SE",20,9,66,1011.7,15.1
"50152",12.7,17.6,22.6,NA,NA,"SSW",46,11,84,1006.6,14.6
"50153",12.4,27.1,6,NA,NA,"ENE",30,7,83,1004.5,17.6
"50154",11.8,29.5,0,NA,NA,"WNW",41,0,75,1002.9,18
"50155",15.6,26.2,0,NA,NA,"ENE",46,6,52,1002.6,18.6
"50156",14.5,22.2,0,NA,NA,"ENE",33,4,75,1007.1,16
"50157",15.8,22.3,0,NA,NA,"ENE",33,7,78,1010.9,16.7
"50158",15,23.5,0,NA,NA,"NE",31,4,81,1013,16.8
"50159",12,25.4,5.2,NA,NA,"WSW",35,6,82,1011,15.6
"50160",9.9,21.2,10.4,NA,NA,"SSE",28,2,89,1011.2,12.3
"50161",9.7,25.7,12.4,NA,NA,"E",31,4,79,1014.2,15.8
"50162",9,26.4,0,NA,NA,"SE",31,4,80,1017,14.2
"50163",13.8,25,0,NA,NA,"SE",31,7,65,1020.5,18.1
"50164",12.8,26.3,8,NA,NA,"W",20,2,68,1020.8,17.5
"50165",11.5,28.1,0,NA,NA,"NNW",30,0,78,1018.2,17.8
"50166",13.1,28.3,4,NA,NA,"ENE",39,2,82,1016.4,16.9
"50167",11.4,26.9,12.8,NA,NA,"ENE",37,4,85,1016.8,15.5
"50168",14.5,28.2,2.6,NA,NA,"ESE",31,9,85,1016.4,17.4
"50169",12.5,25.7,0,NA,NA,"SSE",30,2,82,1012.2,17.2
"50170",13,24.7,11.4,NA,NA,"E",37,15,72,1011.6,16.6
"50171",12.9,24.2,0.4,NA,NA,"ESE",37,6,71,1015.6,15.7
"50172",10,28,0,NA,NA,"NW",28,0,84,1018.8,15
"50173",10.9,30.3,0,NA,NA,"NW",26,2,69,1022.4,17.4
"50174",10.3,30.7,0,NA,NA,"N",22,2,76,1023,17
"50175",16.2,24.1,0,NA,NA,"NNE",30,7,77,1019.4,20.6
"50176",18.4,22.8,1.6,NA,NA,"NNW",33,11,90,1016.3,19.3
"50177",18.9,20.8,7.6,NA,NA,"N",28,11,94,1012.4,19.4
"50178",16.2,19.5,41.2,NA,NA,"E",28,13,84,1014,17
"50179",13.8,20.8,84.2,NA,NA,"S",48,0,100,1006.7,14.8
"50180",13.1,17.1,41.8,NA,NA,"S",43,19,88,1014,13.5
"50181",12.9,16.5,0.8,NA,NA,"E",30,9,78,1019.4,14.3
"50182",13.9,22.7,87.6,NA,NA,"N",37,0,100,1011.1,15.7
"50183",7.3,24.7,7.4,NA,NA,"ENE",35,0,86,1014.5,13.6
"50184",13.1,21.8,4.2,NA,NA,"SSE",41,6,89,1019,13.9
"50185",11.7,16.5,6.6,NA,NA,"SSE",54,20,62,1019.3,13.2
"50186",12.1,20.3,0,NA,NA,"SSW",52,17,69,1010.8,14.2
"50187",10.9,23.6,3.8,NA,NA,"W",31,4,98,1009.7,12.4
"50188",7.4,25.1,0,NA,NA,"ENE",30,2,88,1013.8,12.7
"50189",12.7,24.2,0,NA,NA,"N",28,7,79,1018.2,14.8
"50190",10.9,22.5,0,NA,NA,"NE",31,0,86,1020,16.6
"50191",13.5,26.2,0,NA,NA,"NW",28,7,68,1021.3,17.4
"50192",11.9,27.3,0,NA,NA,"NNW",28,0,91,1020.1,15.2
"50193",15.2,26.8,0,NA,NA,"NW",30,0,81,1016.8,18.4
"50194",12.6,25.7,0,NA,NA,"W",31,7,85,1012.2,18.2
"50195",15.8,24,3.2,NA,NA,"E",46,9,77,1014.5,16.5
"50196",9.3,20.2,11.8,NA,NA,"S",31,17,69,1023.3,13.2
"50197",12.1,20,0,NA,NA,"ESE",35,11,73,1024.8,14.9
"50198",8.9,24,0,NA,NA,"WNW",24,4,87,1020.9,13.7
"50199",7.8,26.5,0,NA,NA,"W",39,7,99,1009.5,11.3
"50200",11.3,19.8,0,NA,NA,"S",28,9,72,1008.9,12
"50201",8.5,17.6,0,NA,NA,"W",52,19,50,1003,13.2
"50202",7,19,0,NA,NA,"W",37,15,51,1010.8,11.6
"50203",2.6,20,0,NA,NA,"ENE",28,0,84,1021.7,8.2
"50204",8.2,22.5,0,NA,NA,"N",26,7,72,1022.8,14.7
"50205",8.9,19,0,NA,NA,"E",22,0,82,1022.6,13.3
"50206",13,18.3,17.4,NA,NA,"N",19,0,99,1022.9,14.5
"50207",5.8,23,0.8,NA,NA,"S",24,4,95,1019.7,10
"50208",6.5,23.5,0,NA,NA,"NNW",20,0,92,1019.3,11.5
"50209",6.8,25.9,0,NA,NA,"N",24,0,93,1019.1,10.9
"50210",8.6,25,0,NA,NA,"NW",35,4,72,1019.6,16.8
"50211",9.5,23.4,0.2,NA,NA,"NW",30,2,89,1018.8,14.5
"50212",7.7,26.1,0,NA,NA,"N",26,0,85,1017.4,13.4
"50213",10.1,26.7,0,NA,NA,"ENE",35,4,78,1017.9,18.4
"50214",12.1,23.9,0,NA,NA,"SE",50,2,95,1021.6,16.5
"50215",12.2,25.4,0,NA,NA,"N",26,7,69,1020.7,18.4
"50216",10.3,22.2,0,NA,NA,"NNE",22,11,46,1017.6,16.6
"50217",9.3,21.4,0,NA,NA,"NNW",31,0,77,1018.9,14.8
"50218",2.5,18.1,0,NA,NA,"WNW",41,4,56,1016,13.9
"50219",0.5,14.4,0,NA,NA,"SSW",44,17,58,1026.3,9.1
"50220",3.6,18.2,0,NA,NA,"SSE",43,24,58,1032.2,9.9
"50221",0,20.4,0,NA,NA,"NNE",17,4,78,1034,8
"50222",2,22.3,0,NA,NA,"NNE",20,2,74,1032.5,11.5
"50223",2.5,16.5,0,NA,NA,"NNW",19,0,89,1028.5,9.4
"50224",4.2,22.3,0,NA,NA,"NNE",20,0,77,1027,12.4
"50225",4.1,23.5,0,NA,NA,"S",28,2,75,1025.8,13.4
"50226",4.8,20.6,0,NA,NA,"S",35,17,60,1026.7,14.8
"50227",13.5,20.9,0.8,NA,NA,"E",39,6,86,1023.7,16.6
"50228",13.8,21.7,14.2,NA,NA,"E",30,7,97,1020.1,15.9
"50229",9.9,19.6,28,NA,NA,"NW",17,4,100,1017.2,13.6
"50230",10.4,22.2,0,NA,NA,"NE",22,0,78,1017.2,16.7
"50231",10.4,18,0,NA,NA,"N",22,2,93,1013.5,14.9
"50232",7.2,21,0.4,NA,NA,"NNW",30,0,100,1012.3,10.1
"50233",5.6,12.3,1.2,NA,NA,"WNW",43,7,97,1012.2,11
"50234",6.4,14.2,0.6,NA,NA,"NW",43,17,66,1010,10
"50235",2.3,17.1,0,NA,NA,"W",17,2,81,1019.5,10
"50236",3.7,18,0.2,NA,NA,"N",19,0,99,1022.5,6
"50237",5.9,19.8,0,NA,NA,"WNW",31,6,94,1021,10.5
"50238",1.2,15.8,0,NA,NA,"SSE",30,19,74,1022.3,10.9
"50239",0.8,15,0,NA,NA,"W",17,0,80,1027.8,8.1
"50240",1.1,18.5,0,NA,NA,"NNW",24,4,99,1027.3,5.8
"50241",2.2,12.2,0,NA,NA,"NNW",13,0,91,1023.9,8.7
"50242",6.7,15.3,4.4,NA,NA,"N",31,11,92,1021.1,8.1
"50243",-2.6,15.6,0,NA,NA,"N",19,4,85,1022.3,3.8
"50244",-1.1,15.9,0,NA,NA,"N",20,4,85,1019.6,6.5
"50245",0.7,14.9,0,NA,NA,"WNW",26,7,98,1017.6,4.6
"50246",0.8,11.4,0,NA,NA,"WSW",13,6,93,1020,4
"50247",-0.1,18,0,NA,NA,"NW",26,0,99,1020.4,3.9
"50248",0.1,21.3,0,NA,NA,"N",28,0,84,1023.6,9.3
"50249",2.6,22.8,0,NA,NA,"WNW",31,0,73,1024.1,11.8
"50250",6.4,20.5,0,NA,NA,"WNW",44,19,58,1018.6,16.5
"50251",-0.2,14.7,0.2,NA,NA,"WNW",39,2,68,1018.7,7.7
"50252",6.1,13.5,0,NA,NA,"W",37,15,64,1012.9,9.3
"50253",-3.8,13.6,0,NA,NA,"S",24,6,76,1023.2,3.5
"50254",-3.4,15.5,0,NA,NA,"SSE",28,0,77,1026.1,4.7
"50255",-2.8,15.3,0,NA,NA,"SSW",19,2,87,1026.9,4.4
"50256",-0.3,15.2,0,NA,NA,"NNW",17,0,88,1026,5.2
"50257",-1.7,16.3,0,NA,NA,"N",20,0,99,1026.1,1.9
"50258",-3.5,17.5,0,NA,NA,"SW",19,4,91,1025.4,1.9
"50259",-0.5,15.8,0,NA,NA,"NW",24,0,80,1027.2,6.4
"50260",1.8,16,0,NA,NA,"NW",30,7,87,1025.6,7.7
"50261",-4.5,15.7,0,NA,NA,"NW",33,0,85,1024.6,3.6
"50262",-2.8,17.1,0,NA,NA,"NW",44,0,86,1023.6,4.9
"50263",-1.2,12,0,NA,NA,"SW",20,0,76,1020.9,6
"50264",6,9.8,22.4,NA,NA,"WNW",50,9,72,1011.9,7.2
"50265",4.2,12.5,0.6,NA,NA,"NW",43,17,72,1012.9,7.9
"50266",0.8,15,0,NA,NA,"S",33,0,85,1022.3,5.9
"50267",-2,13.2,0,NA,NA,"SSW",37,11,72,1028.1,8.4
"50268",-2.5,15.7,0,NA,NA,"NE",17,0,89,1033.6,3.8
"50269",-2.3,15.3,0.2,NA,NA,"W",15,6,99,1037.3,0.8
"50270",0.4,15.3,0,NA,NA,"NNW",20,0,73,1034.9,7.9
"50271",0.4,13.4,0,NA,NA,"N",11,2,95,1031,4.2
"50272",4.1,9.5,1.6,NA,NA,"NNE",11,7,99,1024.5,5.9
"50273",5.9,13.9,20.8,NA,NA,"SSW",31,9,86,1016.9,9.5
"50274",0.5,15.7,0,NA,NA,"NW",35,0,100,1006.7,4.8
"50275",4.8,10.5,9.2,NA,NA,"S",74,0,99,1001.8,6.2
"50276",6.2,11.4,3.2,NA,NA,"SSE",50,31,72,1019.8,7.5
"50277",-3.2,12.3,0,NA,NA,"SSW",15,0,87,1025.3,2.6
"50278",-4.3,12.4,0,NA,NA,"SW",22,6,86,1027.1,3.3
"50279",-4.4,12.8,0,NA,NA,"S",22,0,91,1027.7,2.2
"50280",-3.8,13.7,0,NA,NA,"E",15,0,87,1028.3,3.1
"50281",-1.6,11.7,0,NA,NA,"SSW",31,17,77,1026.3,6.3
"50282",5.8,13.1,0,NA,NA,"S",28,15,69,1024.1,9.8
"50283",2.3,14.8,0,NA,NA,"SE",17,0,89,1023.9,8.2
"50284",4.8,14.7,0,NA,NA,"W",13,0,93,1020.7,8.1
"50285",4.9,16.2,0,NA,NA,"WNW",31,2,84,1016.4,10
"50286",1.3,9.4,0,NA,NA,"NW",11,4,98,1018.4,5
"50287",1.9,12.8,0.4,NA,NA,"NW",48,15,76,1019.2,8.7
"50288",-1.4,13.3,0,NA,NA,"N",28,0,85,1023.6,5
"50289",-2,15.4,0,NA,NA,"WNW",37,15,67,1019.8,11
"50290",-5.9,10.7,0,NA,NA,"N",28,0,93,1023.6,-1.7
"50291",-1.7,13.7,0,NA,NA,"NW",44,17,69,1014.1,9.8
"50292",7.1,10.3,7,NA,NA,"NW",44,15,86,1005.4,7.1
"50293",-2.3,11,0,NA,NA,"WNW",33,0,100,1022.8,1.3
"50294",-4.8,14.5,0.2,NA,NA,"WSW",30,0,88,1029.3,0.3
"50295",-3.6,14.9,0,NA,NA,"WSW",33,0,98,1029.8,2
"50296",-1,10,0,NA,NA,"NE",19,0,87,1032.1,5.7
"50297",2.4,10.2,0,NA,NA,"ENE",15,0,86,1032.9,6.4
"50298",-1.6,13.9,0,NA,NA,"N",13,0,93,1027.2,4
"50299",2.6,14.1,0,NA,NA,"NNW",31,6,99,1016.1,6.2
"50300",5.4,12,0.2,NA,NA,"NW",39,9,67,1013,7.9
"50301",0.3,9.7,0.4,NA,NA,"NW",33,4,97,1016.2,3.9
"50302",-4.1,12.6,0,NA,NA,"W",30,0,90,1018.1,1.6
"50303",-6.1,12,0,NA,NA,"WNW",22,0,89,1022.9,0.6
"50304",-5.6,11.1,0,NA,NA,"SSE",30,2,87,1027.8,2.1
"50305",-1.2,10.7,0,NA,NA,"S",37,13,70,1034.4,5.1
"50306",-1.2,11.3,0,NA,NA,"SSW",26,9,70,1036,4.6
"50307",-6.2,12.6,0,NA,NA,"E",48,0,85,1034.6,0.2
"50308",-5.7,13,0,NA,NA,"N",20,0,87,1032.9,0.4
"50309",-4.5,13.7,0,NA,NA,"WNW",22,4,89,1031.6,1.2
"50310",-2.3,9.9,0,NA,NA,"N",56,0,94,1025.9,3.7
"50311",3.7,13,27,NA,NA,"W",48,19,84,1019.6,8.9
"50312",1,11.6,0,NA,NA,"N",11,4,98,1018.5,3.3
"50313",3.3,16.2,10.2,NA,NA,"NW",43,9,100,1011.1,11.6
"50314",7.3,13.3,0,NA,NA,"NW",43,15,67,1013,10.3
"50315",4.7,12.1,1.2,NA,NA,"NNW",37,17,75,1017.9,7.8
"50316",1.7,14,0,NA,NA,"N",30,7,94,1029.2,6.3
"50317",2.9,13.8,0,NA,NA,"NW",31,4,99,1027.2,3.7
"50318",-2.4,14.7,0,NA,NA,"WNW",33,2,87,1020.6,2.5
"50319",-4,12.5,0,NA,NA,"SW",24,0,81,1023.2,2.2
"50320",-5.1,14.5,0,NA,NA,"SE",33,0,79,1028.2,1.2
"50321",-3.8,13.8,0,NA,NA,"SE",35,0,88,1032.5,4.5
"50322",3.3,13.4,0,NA,NA,"SSE",35,20,69,1032.7,8.2
"50323",0.5,14.2,0,NA,NA,"NNW",17,0,72,1032.4,7.4
"50324",-2.8,13.4,0,NA,NA,"N",17,0,86,1030.1,2.4
"50325",-1.4,13.9,0,NA,NA,"N",31,0,100,1024,2.4
"50326",2.4,11.9,3,NA,NA,"N",22,7,85,1015.1,9.2
"50327",-2.6,12,2.2,NA,NA,"NW",30,2,99,1013.8,0.9
"50328",-0.9,14.2,0,NA,NA,"W",22,2,NA,1019.4,NA
"50329",-1.7,12.7,0,NA,NA,"SSW",28,2,82,1024.3,5.5
"50330",-5.3,12.1,0,NA,NA,"S",41,6,82,1026.7,2.2
"50331",-0.7,11.3,0,NA,NA,"SE",30,7,81,1028.6,3.3
"50332",-0.7,11.5,0,NA,NA,"W",46,6,69,1024.2,5.6
"50333",-5.1,12.1,0,NA,NA,"N",24,2,82,1023.5,1.3
"50334",-1.3,13.4,0,NA,NA,"WNW",39,7,69,1018,6.4
"50335",0.9,14.2,0,NA,NA,"NW",44,11,67,1017.6,7.4
"50336",0.8,14.9,0,NA,NA,"W",59,15,71,1015.5,7.2
"50337",4.8,11,0,NA,NA,"W",44,17,55,1015.7,7.9
"50338",-5.9,14.8,0,NA,NA,"N",31,0,78,1024.5,2.6
"50339",-4.8,16,0,NA,NA,"WNW",43,4,84,1021.7,1.8
"50340",1.8,12.9,0,NA,NA,"W",59,17,56,1015.1,9.8
"50341",-0.7,12.6,0,NA,NA,"S",57,17,52,1018.9,7.8
"50342",2.4,13.6,0,NA,NA,"SSE",46,26,59,1024.9,8.4
"50343",5.4,14.1,0,NA,NA,"ESE",44,22,62,1027.8,8
"50344",-3.7,15.2,0,NA,NA,"N",28,0,92,1028.5,2.1
"50345",-4.2,13.5,0,NA,NA,"NNW",26,2,93,1022.8,1
"50346",-0.4,16.6,0,NA,NA,"W",46,4,75,1016.6,7.4
"50347",-2.4,14.4,0,NA,NA,"NW",41,4,69,1015.4,6.3
"50348",3,8.8,3.6,NA,NA,"NW",48,15,79,1004.2,7.3
"50349",0.1,13.3,5.6,NA,NA,"WSW",46,13,78,1007.6,5.6
"50350",-2.7,14.4,0,NA,NA,"NNE",43,0,99,1022,3
"50351",-1.1,12.4,0,NA,NA,"NW",19,7,80,1024,3.4
"50352",-2.5,15,0,NA,NA,"N",30,0,80,1020.9,4.5
"50353",-2,18.4,0,NA,NA,"N",28,0,77,1016,5.8
"50354",5,11,4.2,NA,NA,"N",31,2,100,1011.3,10
"50355",3,8.2,13.2,NA,NA,"NW",50,24,66,1013.8,6
"50356",3.9,11.8,0.8,NA,NA,"NNW",39,17,57,1019.2,7.8
"50357",-1,15.1,0,NA,NA,"W",30,17,65,1018.7,8.8
"50358",-4.2,14.9,0,NA,NA,"NNW",31,2,77,1026,4
"50359",-5,15.6,0,NA,NA,"N",72,4,85,1025.3,1.8
"50360",-1.9,15.1,0.2,NA,NA,"N",35,0,85,1017.7,6.2
"50361",2.9,12,0,NA,NA,"NW",56,24,48,1010.6,10.1
"50362",0.5,11.1,0,NA,NA,"WNW",46,19,56,1016.2,8.2
"50363",-5.5,13.5,1.4,NA,NA,"SE",41,2,73,1023.1,3
"50364",-4.4,17,0,NA,NA,"N",30,4,74,1024,4
"50365",-3.4,19.9,0,NA,NA,"W",33,4,67,1023.6,5.1
"50366",-0.3,20.9,0,NA,NA,"W",31,4,65,1024.1,8.6
"50367",-1.6,22.1,0,NA,NA,"WNW",63,19,42,1014,12.8
"50368",8.3,16.5,2.2,NA,NA,"WNW",50,28,57,1008.7,12
"50369",6,11.8,0,NA,NA,"WNW",57,20,67,1004.9,7.7
"50370",7.3,15.2,0,NA,NA,"W",44,20,48,1012.9,11.4
"50371",2.8,18.1,0,NA,NA,"W",31,7,56,1022.3,10.3
"50372",-1.9,20.2,0,NA,NA,"E",48,2,71,1025.8,7.5
"50373",-1.8,18.4,0,NA,NA,"NW",22,7,78,1026.4,7.8
"50374",3.7,20.1,0,NA,NA,"WNW",43,2,80,1022.2,10
"50375",1.6,14.3,0,NA,NA,"S",39,4,71,1008.8,10.7
"50376",-2.2,15.9,5.4,NA,NA,"WNW",39,6,83,1019.9,4.5
"50377",-2,17.3,0,NA,NA,"S",28,19,57,1025.4,9.7
"50378",-0.1,18.2,0,NA,NA,"N",35,2,99,1021.4,5.3
"50379",5.2,16.2,0,NA,NA,"E",31,6,73,1020.3,11.1
"50380",8.2,19.7,0,NA,NA,"W",54,7,70,1018,12.3
"50381",7.3,18.4,2.6,NA,NA,"W",26,9,83,1017,10.4
"50382",8.7,20.5,0,NA,NA,"NW",28,9,76,1019.2,12.7
"50383",6.5,19.6,1.2,NA,NA,"NW",41,13,60,1013.5,15.6
"50384",1.7,19.9,0,NA,NA,"WNW",28,7,67,1017.5,11.9
"50385",0.3,22.3,0,NA,NA,"WNW",50,6,70,1011,11
"50386",-0.7,16.9,0,NA,NA,"WNW",39,9,40,1012.6,12
"50387",-2.1,18.3,0,NA,NA,"NE",33,7,58,1021.9,9.9
"50388",8.6,20.3,0,NA,NA,"N",28,4,69,1022.1,13
"50389",3.9,23.7,0,NA,NA,"NNW",35,0,70,1018.2,11.3
"50390",10.9,17.8,0.2,NA,NA,"NNW",54,9,68,1010.6,17.1
"50391",8.9,11.9,27.4,NA,NA,"WNW",54,30,52,1007,10.6
"50392",4.4,15.2,0,NA,NA,"WSW",37,19,44,1018.1,10.2
