"","age","job","marital","education","default","balance","housing","loan","contact","y"
"15825",53,"admin.","married","secondary","no",0,"no","no","telephone","no"
"18535",35,"blue-collar","married","primary","no",2953,"yes","no","telephone","no"
"19523",25,"technician","married","tertiary","no",839,"yes","no","cellular","yes"
"19432",35,"technician","married","secondary","no",31,"no","no","cellular","no"
"12293",51,"technician","married","tertiary","no",0,"yes","no","unknown","no"
"18943",56,"technician","divorced","secondary","no",179,"no","no","cellular","yes"
"10458",56,"admin.","married","secondary","no",1270,"yes","no","cellular","no"
"14481",40,"technician","divorced","secondary","no",6,"no","no","cellular","no"
"12697",44,"technician","divorced","secondary","no",14,"no","no","cellular","yes"
"15458",32,"technician","married","tertiary","no",401,"yes","no","cellular","no"
"13406",57,"technician","married","secondary","no",3071,"yes","yes","cellular","no"
"12758",30,"technician","single","tertiary","no",53,"no","no","cellular","yes"
"20410",36,"management","married","tertiary","no",287,"no","yes","cellular","no"
"11550",51,"technician","married","secondary","no",221,"yes","no","unknown","no"
"11407",55,"unknown","married","unknown","no",666,"no","no","unknown","no"
"16493",34,"unemployed","married","tertiary","no",10,"no","no","cellular","no"
"22434",28,"technician","single","secondary","no",541,"yes","no","unknown","no"
"16668",30,"management","single","tertiary","no",5074,"yes","no","cellular","no"
"21443",35,"blue-collar","single","primary","no",1284,"yes","no","telephone","no"
"14097",48,"blue-collar","divorced","secondary","no",-314,"yes","no","cellular","no"
"14500",30,"management","married","secondary","no",0,"no","no","cellular","no"
"11653",28,"admin.","single","secondary","no",260,"yes","no","unknown","no"
"21940",55,"entrepreneur","married","primary","no",-24,"yes","no","unknown","no"
"11700",42,"blue-collar","married","secondary","no",179,"yes","no","cellular","no"
"16138",59,"blue-collar","married","secondary","no",0,"yes","no","unknown","no"
"18863",38,"blue-collar","married","secondary","no",205,"yes","no","unknown","no"
"12640",35,"technician","single","secondary","no",2,"no","no","cellular","no"
"17513",46,"technician","married","tertiary","no",0,"no","no","unknown","no"
"20476",32,"management","married","tertiary","no",4307,"yes","no","unknown","no"
"12802",51,"management","divorced","tertiary","no",482,"yes","no","unknown","no"
"16833",32,"admin.","married","secondary","no",-1,"no","no","cellular","no"
"18131",41,"admin.","married","primary","no",-306,"yes","no","unknown","yes"
"21448",35,"technician","single","secondary","no",1001,"no","yes","cellular","no"
"18980",42,"services","single","secondary","no",2628,"yes","no","cellular","no"
"20770",35,"technician","married","tertiary","no",14232,"yes","no","cellular","no"
"22025",44,"blue-collar","married","primary","no",3407,"yes","no","unknown","no"
"11261",34,"blue-collar","married","secondary","no",-257,"yes","no","cellular","no"
"18183",40,"services","married","secondary","no",473,"yes","no","cellular","yes"
"13685",35,"technician","single","tertiary","no",670,"no","no","cellular","yes"
"14203",31,"management","single","tertiary","no",123,"no","no","cellular","no"
"19493",35,"technician","married","tertiary","no",22,"no","no","cellular","no"
"16091",36,"services","married","unknown","no",618,"no","no","cellular","yes"
"12868",34,"management","single","tertiary","no",5086,"no","no","cellular","yes"
"10103",59,"retired","married","secondary","no",3,"no","no","unknown","no"
"18609",36,"management","married","tertiary","no",5057,"yes","no","cellular","no"
"19884",31,"admin.","single","secondary","no",626,"yes","no","unknown","no"
"22077",28,"services","single","primary","no",198,"no","no","cellular","yes"
"11900",34,"unemployed","single","tertiary","no",415,"no","no","cellular","no"
"15527",24,"admin.","single","tertiary","no",454,"yes","no","cellular","no"
"21312",47,"technician","divorced","secondary","no",22,"no","no","cellular","no"
"22628",31,"management","single","tertiary","no",630,"no","no","cellular","no"
"22454",47,"blue-collar","married","primary","no",556,"yes","no","cellular","no"
"20763",42,"management","divorced","tertiary","no",401,"yes","no","cellular","no"
"13339",33,"services","married","secondary","no",0,"yes","no","cellular","no"
"22742",25,"blue-collar","single","secondary","yes",-220,"no","no","cellular","no"
"12086",42,"blue-collar","married","secondary","no",2913,"no","no","cellular","yes"
"19195",59,"retired","divorced","primary","no",-88,"yes","no","unknown","yes"
"18518",29,"technician","married","secondary","no",7836,"yes","no","unknown","no"
"19764",41,"blue-collar","married","secondary","no",140,"yes","no","cellular","no"
"12520",60,"technician","married","primary","no",65,"yes","no","unknown","yes"
"20033",46,"blue-collar","married","primary","no",1533,"no","yes","cellular","no"
"17773",34,"blue-collar","married","secondary","no",1221,"yes","no","cellular","no"
"14745",34,"management","single","tertiary","no",6766,"no","no","cellular","no"
"11929",81,"retired","married","primary","no",243,"no","no","cellular","yes"
"15057",30,"admin.","single","secondary","no",-213,"yes","yes","unknown","yes"
"10526",58,"housemaid","married","primary","no",0,"yes","no","telephone","no"
"17744",33,"blue-collar","married","primary","no",-191,"yes","yes","cellular","yes"
"15323",44,"management","married","tertiary","no",226,"yes","no","cellular","yes"
"12761",42,"management","married","unknown","no",849,"yes","no","cellular","yes"
"17502",45,"services","married","secondary","no",38,"yes","no","cellular","no"
"22284",39,"housemaid","married","primary","no",-44,"yes","no","unknown","no"
"14564",26,"entrepreneur","married","unknown","no",345,"yes","yes","cellular","no"
"16246",35,"management","single","tertiary","no",550,"yes","no","unknown","no"
"15220",32,"blue-collar","single","secondary","no",1067,"yes","no","unknown","no"
"18820",55,"technician","married","secondary","no",361,"yes","yes","cellular","no"
