"policy_tenure","age_of_car","segment","model","fuel_type","displacement","cylinder","transmission_type","length","width","ncap_rating","is_claim"
1.15240385138065,0.08,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","No"
1.07361238518927,0.2,"C1","M2","Petrol",1197,4,"Automatic",3995,1735,"2","No"
0.096461962185437,0.17,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.671115976557958,0.1,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.907761324519347,0.16,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","No"
1.14064472886122,0.08,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.082772833799158,0.01,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.206468455245829,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.06367487059025,0.07,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","Yes"
0.082937501505209,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.205589598657541,0.02,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.608107863955812,0.16,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.108267786834639,0.08,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.063039745436662,0.04,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.080849142401333,0.06,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.756332266607234,0.01,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.223527784404815,0.02,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.56418707619879,0.18,"A","M3","Petrol",999,3,"Automatic",3731,1579,"2","No"
0.306917829192057,0.03,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
1.06347747113227,0.03,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.641435283282629,0.01,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.08904919199893,0.04,"B2","M5","Diesel",1497,4,"Manual",3990,1755,"5","No"
0.045603992358742,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.351015271111835,0.16,"B2","M5","Diesel",1497,4,"Manual",3990,1755,"5","No"
1.16245884454542,0.06,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
1.09079180018965,0.07,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.062427818736632,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.02539828189263,0.05,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.488693835516014,0.04,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
0.088463029711765,0.12,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
1.00250826367779,0.18,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.066757773548658,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.44838305432436,0.13,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.317103208785565,0.12,"C1","M2","Petrol",1197,4,"Automatic",3995,1735,"2","No"
0.514344174329335,0.09,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.162311149659165,0.12,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
1.13739701134749,0.03,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.11646915445388,0.05,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.03448254904221,0.12,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","Yes"
0.543213670922975,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.299011895465542,0.06,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.19059439701507,0.08,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.815102672897615,0,"B2","M5","Diesel",1497,4,"Manual",3990,1755,"5","No"
1.08691784978994,0.1,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.318744143481245,0.11,"Utility","M10","CNG",1196,4,"Manual",3675,1475,"0","No"
1.12542757686115,0.06,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
0.054048563878503,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.011712394431703,0,"C1","M2","Petrol",1197,4,"Automatic",3995,1735,"2","No"
0.517199701188652,0.09,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.010406704975627,0.11,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.639988696847763,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.175470006304,0.08,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.1580233171124,0.02,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.03470225708415,0.01,"A","M3","Petrol",999,3,"Automatic",3731,1579,"2","No"
0.278824123560157,0.09,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.844243762176041,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.237261715794424,0.04,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
0.596187963506228,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.818382033433465,0.08,"C1","M2","Petrol",1197,4,"Automatic",3995,1735,"2","No"
0.192976699988821,0.12,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","No"
1.16762384669027,0.01,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.961509902080208,0.12,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.230813919821679,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.260799878786732,0.12,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.0755940285513,0.07,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.141458249077412,0,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","Yes"
0.495736374685068,0.08,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
1.12459229081195,0.15,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.260504917318356,0.15,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.213458003391784,0.11,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.046205416055613,0.17,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.215290845593217,0.04,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.102315890929584,0.15,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
1.02719229317282,0.04,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.623478276005918,0.01,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.177807451607137,0.09,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.21652190514219,0.01,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.96644261454596,0,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.707203218405989,0.02,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","No"
1.08507306399253,0.08,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","No"
0.277198366294799,0.1,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.037042674025644,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.282123336171546,0.03,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.282735415780031,0.16,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.19883757899202,0.06,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.412256657528306,0.03,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.22230263862224,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.089807312012701,0.04,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.963405687583106,0.12,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.04590072888938,0.14,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
0.084530679404292,0.03,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.789761298934848,0.13,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.832705793987154,0.15,"A","M3","Petrol",999,3,"Automatic",3731,1579,"2","No"
0.253059687791534,0.03,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.252255931037205,0.11,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.10630521177251,0.18,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.077355431246469,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","Yes"
0.310745115875657,0.18,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.786996205501922,0.06,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
0.541369165781065,0.24,"C1","M2","Petrol",1197,4,"Automatic",3995,1735,"2","No"
0.424003732138602,0.15,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.05605674934976,0.02,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.2279113503092,0.13,"C1","M11","Petrol",1199,3,"Manual",3993,1811,"5","No"
0.522408582502553,0.06,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.057895150134524,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.104872706873923,0.16,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.696825938798416,0.03,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.677943800510499,0,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.574390090893564,0.04,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.07227428816721,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.11618301751431,0.06,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.983269648267907,0.02,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.644182756042717,0.21,"B2","M5","Diesel",1497,4,"Manual",3990,1755,"5","No"
0.203238391459991,0.02,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.168600030218975,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.1504967983547,0.1,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","Yes"
1.05793404969434,0.15,"C1","M11","Petrol",1199,3,"Manual",3993,1811,"5","No"
0.473355861071753,0.15,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
1.12559074153478,0.02,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.11866992683138,0.06,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.083142533254091,0.05,"C1","M2","Petrol",1197,4,"Automatic",3995,1735,"2","No"
0.043226513416774,0.05,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.322080320310964,0.1,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.813392835491761,0.05,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","Yes"
0.77642172514506,0.15,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.109687619706325,0.11,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
1.23108200116839,0.16,"A","M3","Petrol",999,3,"Automatic",3731,1579,"2","No"
0.545032507342574,0.14,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.687347749318113,0.16,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.22667074967929,0.18,"B1","M8","CNG",998,3,"Manual",3655,1620,"2","Yes"
0.547690678801269,0.04,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.033834030436914,0.03,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.17304376711676,0.17,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
0.432136132376047,0.13,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.098306099068397,0.01,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
0.53445008874633,0.08,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.129501848563004,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.2327854700225,0.04,"C1","M11","Petrol",1199,3,"Manual",3993,1811,"5","No"
0.452814368434195,0.02,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.963962191723832,0.07,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.15576251198362,0.08,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.325933860664041,0.05,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.096483528509838,0.03,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
0.846705916345512,0.11,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.615357524854382,0.02,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.264806041284419,0.11,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
1.19234741449852,0.15,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
0.876835168108137,0.03,"A","M3","Petrol",999,3,"Automatic",3731,1579,"2","No"
0.090618654289141,0.01,"C1","M9","Diesel",1498,4,"Manual",3995,1695,"4","No"
1.13546194489191,0.09,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.608394820126803,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.520944617194551,0.05,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.05986378466109,0.12,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","Yes"
1.24654122850933,0.08,"C2","M4","Diesel",1493,4,"Automatic",4300,1790,"3","No"
0.23642063895687,0.01,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.322592695681533,0.05,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
1.08544534969477,0.04,"Utility","M10","CNG",1196,4,"Manual",3675,1475,"0","No"
0.387309102263248,0.03,"B2","M5","Diesel",1497,4,"Manual",3990,1755,"5","No"
0.03567880133898,0,"A","M1","CNG",796,3,"Manual",3445,1515,"0","No"
0.098103014731998,0.14,"B2","M6","Petrol",1197,4,"Manual",3845,1735,"2","No"
1.11358310536387,0.05,"B2","M7","Petrol",1197,4,"Automatic",3990,1745,"0","No"
