"country","Region","Population.density","Urban.population","Mobile.cellular.subscriptions","Quality.Of.Life.Index","Cost.of.Living","Pollution.index","Life.expectancy","Access.to.electricity","Safety.Index"
"Australia","Oceania",3.2,85.904,132.8,176.54,80.66,24.58,82.5,100,57.58
"Austria","WesternEurope",106,58.094,157.4,190.37,71.52,21.9,81.6439024390244,100,80.75
"Belgium","WesternEurope",377.5,97.961,115.7,160.52,75.36,48.92,81.4926829268293,100,55.49
"Brazil","SouthAmerica",25,86.309,126.6,96.15,53.07,61.17,75.456,100,29.38
"Bulgaria","EasternEurope",65.3,74.669,129.3,138.2,36.49,63.12,74.8146341463415,100,59.82
"Canada","NorthernAmerica",4,81.35,81.9,167.18,70.16,26.54,81.9487804878049,100,60.75
"Chile","SouthAmerica",24.3,87.49,129.5,136.2,50.09,67.67,79.909,100,52.5
"China","EasternAsia",150.1,57.96,93.2,90.95,44.76,88.96,76.47,100,66.1
"Colombia","SouthAmerica",44.2,80.446,115.7,115.38,34.45,63.9,76.925,98.5,48.31
"Croatia","SouthernEurope",74.9,56.667,103.8,170.63,48,33.34,77.8268292682927,100,72.2
"Cyprus","WesternAsia",127.7,66.836,95.4,166.64,54.07,54.77,80.672,100,67.54
"Czechia","EasternEurope",137.5,73.675,129.2,165.41,41.22,41.04,78.9780487804878,100,69.82
"Finland","NorthernEurope",18.2,85.325,135.5,182.93,73.06,13.38,81.6317073170732,100,75.37
"France","WesternEurope",118.7,80.18,102.6,160.25,74.89,40.15,82.5756097560976,100,56.34
"Germany","WesternEurope",235.6,77.261,116.7,189.74,65.5,27.05,80.9926829268293,100,67.97
"Greece","SouthernEurope",86.6,78.724,114,148.32,55.87,52.05,81.2878048780488,100,59.68
"India","SouthernAsia",450.4,33.6,78.8,101.52,25.08,76.53,69.165,92.6,56.04
"Indonesia","South-easternAsia",145.7,54.659,132.4,62.02,41.11,76.41,71.282,98.14,50.32
"Ireland","NorthernEurope",69.1,62.947,103.7,166.9,76.98,27.18,82.1560975609756,100,54.23
"Israel","WesternAsia",384.5,92.336,133.5,157.88,77.74,61.71,82.5512195121951,100,70.99
"Italy","SouthernEurope",201.8,70.144,151.3,142.52,83.7,51.57,82.9463414634147,100,55.34
"Japan","EasternAsia",349.7,91.535,125,147.49,85.28,41.01,84.099756097561,100,79.11
"Jordan","WesternAsia",109.3,90.747,179.4,117.47,59.22,85.73,74.292,100,56.86
"Lebanon","WesternAsia",594.6,88.429,87.1,106.18,61.65,85.11,78.833,100,50.84
"Lithuania","NorthernEurope",46.1,67.516,139.5,130.28,46.73,34.27,75.4804878048781,100,59.97
"Malaysia","South-easternAsia",96.3,75.447,143.9,51.65,40.24,67.08,75.828,100,35.25
"Mexico","CentralAmerica",66.4,79.867,85.3,129.06,29.81,66.74,74.947,100,49.68
"Netherlands","WesternEurope",505.2,91.077,123.5,175.23,72.47,27.62,81.7609756097561,100,70.11
"New Zealand","Oceania",17.9,86.466,121.8,184.74,80.77,20.03,81.6585365853659,100,61.22
"Philippines","South-easternAsia",351.9,46.682,118.1,56.87,34.71,70.25,70.952,93,60.23
"Poland","EasternEurope",124.6,60.105,148.7,150.21,38.15,50.33,77.7536585365854,100,68.47
"Portugal","SouthernEurope",112.8,64.652,110.4,178.43,49.19,28.91,81.4243902439025,100,64.61
"Republic of Korea","EasternAsia",524.3,81.503,118.5,162.49,75.41,52.73,82.6268292682927,100,74.73
"Romania","EasternEurope",85.5,53.936,107.1,143.04,35.63,50.9,75.309756097561,100,72.05
"Russian Federation","EasternEurope",8.8,74.292,160,85.93,42.01,63.04,72.4319512195122,100,53.95
"Saudi Arabia","WesternAsia",15.3,83.622,176.6,146.41,48.37,74.18,74.874,99.93,76.35
"Singapore","South-easternAsia",8155.5,100,146.1,86.5,82.41,37.04,83.0951219512195,100,83.42
"Slovenia","SouthernEurope",103.3,54.273,113.2,175.45,53.24,26.37,81.0292682926829,100,75.95
"South Africa","SouthernAfrica",46.8,65.85,159.3,144.72,43.12,63.56,63.538,84.4,24.28
"Spain","SouthernEurope",92.9,80.08,107.9,183.65,54.98,37.46,83.2829268292683,100,68.72
"Sri Lanka","SouthernAsia",332.9,18.384,112.8,88.99,33.47,61.9,76.648,97.5,65.43
"Switzerland","WesternEurope",214.5,73.761,142,173.54,122.06,20.77,83.5512195121951,100,77.55
"Thailand","South-easternAsia",135.1,49.2,125.8,57.21,43.71,73.23,76.683,99.9,50.22
"Turkey","WesternAsia",104.9,74.644,96,129.63,38.6,70.46,77.161,100,58.91
"Ukraine","EasternEurope",76.3,69.246,144,87.49,26.22,67.26,71.7809756097561,100,48.73
"United Kingdom","NorthernEurope",273.6,83.143,125.8,172.87,69.49,34.88,81.2560975609756,100,58.81
"United States of America","NorthernAmerica",35.5,82.058,117.6,179.73,75.42,31.19,78.5390243902439,100,51.24
